stnId,stnNm,year,week,avg_temp,min_temp,max_temp,temp_range,total_rain,rain_days,cold_stress_days,warm_days,obs_days,cum_temp_ytd,avg_temp_clim,temp_anomaly
100,대관령,2023,1,-5.857142857142857,-15.4,2.8,5.1,1.3,1,0,0,7,-5.857142857142857,-5.791021825396825,-0.06612103174603146
100,대관령,2023,2,0.2285714285714286,-11.7,11.2,7.3,25.400000000000002,3,0,0,7,-5.628571428571428,-5.6,5.828571428571428
100,대관령,2023,3,-8.328571428571427,-17.8,-1.5,4.800000000000001,0.0,0,0,0,7,-13.957142857142856,-5.3428571428571425,-2.985714285714285
100,대관령,2023,4,-11.785714285714286,-25.2,1.0,13.200000000000001,0.3,0,0,0,7,-25.74285714285714,-9.292857142857143,-2.4928571428571438
100,대관령,2023,5,-5.4,-17.5,1.5,6.3,0.0,0,0,0,7,-31.142857142857142,-6.353571428571429,0.9535714285714283
100,대관령,2023,6,-2.7714285714285714,-12.4,6.4,3.7,2.2,1,0,0,7,-33.91428571428571,-6.921428571428571,4.1499999999999995
100,대관령,2023,7,-2.957142857142857,-14.1,5.5,7.8,1.3,1,0,0,7,-36.871428571428574,-1.4821428571428572,-1.4749999999999996
100,대관령,2023,8,-3.8142857142857145,-16.9,7.6,10.100000000000001,0.0,0,0,0,7,-40.68571428571428,-3.7142857142857144,-0.10000000000000009
100,대관령,2023,9,0.6714285714285716,-9.4,11.3,5.0,0.0,0,5,0,7,-40.01428571428571,-1.5571428571428572,2.2285714285714286
100,대관령,2023,10,7.5,-6.2,19.3,9.200000000000001,10.6,1,7,1,7,-32.51428571428571,-0.27142857142857146,7.771428571428571
100,대관령,2023,11,2.357142857142857,-8.7,13.4,9.7,0.0,0,7,0,7,-30.157142857142855,1.3357142857142859,1.0214285714285714
100,대관령,2023,12,5.014285714285714,-3.3,20.3,8.5,7.2,1,7,0,7,-25.142857142857142,2.4857142857142858,2.5285714285714285
100,대관령,2023,13,6.242857142857143,-7.5,18.2,10.4,0.0,0,5,1,7,-18.9,4.95,1.2928571428571427
100,대관령,2023,14,7.057142857142857,-2.8,19.6,6.700000000000001,25.7,2,0,2,7,-11.842857142857142,6.567857142857143,0.4892857142857139
100,대관령,2023,15,8.257142857142856,0.1,19.4,7.0,15.299999999999999,3,0,3,7,-3.5857142857142854,7.566071428571428,0.6910714285714281
100,대관령,2023,16,9.014285714285714,-1.8,18.9,9.3,5.8999999999999995,1,0,2,7,5.428571428571429,10.066666666666668,-1.052380952380954
100,대관령,2023,17,8.328571428571427,-2.6,20.9,9.8,7.6,2,0,2,7,13.757142857142856,10.285714285714285,-1.9571428571428573
100,대관령,2023,18,10.9,-1.4,24.5,11.200000000000001,70.0,3,0,4,7,24.65714285714286,10.723809523809523,0.17619047619047734
100,대관령,2023,19,12.428571428571429,-2.3,22.2,3.8000000000000007,0.0,0,0,6,7,37.08571428571429,10.80952380952381,1.6190476190476186
100,대관령,2023,20,16.3,4.2,27.8,9.099999999999998,1.5,1,0,7,7,53.385714285714286,14.947619047619048,1.352380952380953
100,대관령,2023,21,13.942857142857141,0.6,22.5,6.600000000000001,9.7,2,0,7,7,67.32857142857142,13.733333333333333,0.20952380952380878
100,대관령,2023,22,16.014285714285716,5.1,23.4,4.699999999999999,11.3,1,0,7,7,83.34285714285714,14.038095238095238,1.976190476190478
100,대관령,2023,23,17.02857142857143,7.5,25.5,3.5,40.9,3,0,7,7,100.37142857142857,16.69047619047619,0.33809523809523867
100,대관령,2023,24,17.771428571428572,9.1,29.7,8.6,10.899999999999999,1,0,7,7,118.14285714285714,19.209523809523812,-1.43809523809524
100,대관령,2023,25,17.585714285714285,10.3,27.4,5.1,39.199999999999996,1,0,7,7,135.72857142857143,19.585714285714285,-2.0
100,대관령,2023,26,21.071428571428573,15.0,29.8,5.0,103.3,4,0,7,7,156.8,20.095238095238095,0.976190476190478
100,대관령,2023,27,20.614285714285717,11.1,27.7,4.5,60.2,3,0,7,7,177.4142857142857,21.814285714285717,-1.1999999999999993
100,대관령,2023,28,21.414285714285715,17.2,26.8,2.599999999999998,86.7,5,0,7,7,198.82857142857142,20.933333333333334,0.480952380952381
100,대관령,2023,29,21.657142857142855,16.2,29.2,3.099999999999998,25.1,3,0,7,7,220.4857142857143,21.014285714285716,0.6428571428571388
100,대관령,2023,30,23.571428571428573,17.7,31.6,2.0,9.9,2,0,7,7,244.05714285714285,24.133333333333336,-0.5619047619047635
100,대관령,2023,31,24.38571428571429,17.5,31.8,2.5,5.3,1,0,7,7,268.4428571428572,24.314285714285717,0.07142857142857295
100,대관령,2023,32,20.142857142857142,17.6,26.0,2.8999999999999986,154.6,6,0,7,7,288.5857142857143,21.661904761904765,-1.5190476190476225
100,대관령,2023,33,20.942857142857143,15.5,28.1,2.8999999999999986,45.6,1,0,7,7,309.5285714285714,21.609523809523807,-0.6666666666666643
100,대관령,2023,34,21.614285714285717,13.8,30.3,6.099999999999998,64.8,3,0,7,7,331.14285714285717,23.08571428571429,-1.4714285714285715
100,대관령,2023,35,18.971428571428568,10.6,26.3,4.5,34.1,3,0,7,7,350.1142857142857,20.885714285714286,-1.9142857142857181
100,대관령,2023,36,17.657142857142855,8.0,24.3,3.9000000000000004,0.2,0,0,7,7,367.7714285714286,19.12857142857143,-1.471428571428575
100,대관령,2023,37,18.3,14.0,26.5,3.299999999999997,77.0,5,0,7,7,386.07142857142856,18.828571428571426,-0.5285714285714249
100,대관령,2023,38,15.442857142857141,6.4,25.2,8.100000000000001,78.2,3,0,7,7,401.51428571428573,17.14761904761905,-1.7047619047619076
100,대관령,2023,39,15.37142857142857,5.3,22.7,6.400000000000002,34.2,4,0,7,7,416.8857142857143,15.14285714285714,0.22857142857142954
100,대관령,2023,40,9.5,-0.7,19.2,5.299999999999999,1.3,1,0,2,7,426.3857142857143,11.59047619047619,-2.09047619047619
100,대관령,2023,41,9.700000000000001,1.5,18.9,2.1999999999999993,4.6,2,0,3,7,436.0857142857143,11.428571428571429,-1.7285714285714278
100,대관령,2023,42,7.814285714285715,-1.7,19.5,7.7,1.6,1,0,2,7,443.9,10.280952380952382,-2.466666666666667
100,대관령,2023,43,8.4,-0.5,19.3,5.4,23.700000000000003,2,0,2,7,452.3,8.347619047619048,0.052380952380952195
100,대관령,2023,44,12.485714285714286,-0.8,21.6,8.500000000000002,14.5,3,0,6,7,464.7857142857143,8.061904761904762,4.423809523809524
